LMT1_x,LMT1_y,LMT1_z,RMT1_x,RMT1_y,RMT1_z,LMT5_x,LMT5_y,LMT5_z,RMT5_x,RMT5_y,RMT5_z,LHeel_x,LHeel_y,LHeel_z,RHeel_x,RHeel_y,RHeel_z
-557.0090759,-519.4795062,69.29255264,335.8885229,-955.5515281,-29.32615976,-525.382407,-539.6056951,-40.49533749,308.8160029,-970.6068436,80.22219642,-419.2588862,-367.0965201,-9.540001094,123.50225,-928.6629746,13.53708526
-535.2484186,-508.3671164,63.21023256,313.0396592,-958.2333264,-31.14429942,-502.5416647,-528.346652,-46.28705153,284.6571779,-967.3847366,78.73524367,-393.1686073,-358.4063785,-12.54242991,100.292757,-928.4746176,7.774380394
-512.0431665,-500.0685178,57.24641191,289.183324,-957.3685614,-32.78055576,-478.9049035,-519.3759936,-52.24144984,258.9302632,-963.5875724,76.7922396,-366.8852958,-351.733129,-15.81231034,75.73203046,-927.0635679,1.664004435
-487.7833028,-494.9803217,51.30825366,264.350364,-955.7839309,-34.44830484,-454.5599804,-513.3418049,-58.31163751,232.0117575,-959.0159441,74.65830789,-340.3911293,-347.7059543,-19.44681977,50.37157384,-924.0433109,-4.871129112
-462.762293,-493.2379008,45.41580137,238.6089304,-952.6175252,-36.31388725,-429.5767569,-510.5059014,-64.4155717,204.493844,-954.4994126,72.28163336,-314.4216685,-346.0235151,-23.31214537,24.22045035,-920.2888729,-10.61621341
-437.3508241,-494.8791614,39.60408621,211.9940521,-949.8538441,-37.73658199,-404.2633662,-510.5225162,-70.47662928,176.4411933,-950.5898667,70.41074148,-289.375573,-346.4944156,-27.40544727,-2.539639014,-916.1880266,-15.17030828
-411.745845,-500.0667357,33.90503494,184.5466665,-947.5075309,-38.70113648,-378.713763,-513.8721555,-76.44160523,147.9583737,-947.4999452,69.09742474,-265.6895006,-349.0464038,-31.39729184,-29.99991377,-912.503966,-18.31044752
-386.0435166,-508.6956543,27.98382619,155.9261753,-946.4128613,-40.07689141,-353.5978753,-520.5686948,-82.76331148,119.5472845,-946.111961,67.79689145,-244.1062153,-353.5977813,-36.85050723,-58.29231297,-909.7152133,-19.31206101
-360.73557,-520.2724469,22.01956139,127.3495707,-945.8002145,-40.38174892,-328.2814349,-529.7704394,-88.95381838,91.03568931,-945.5214172,67.51286351,-224.4764064,-359.6279296,-41.49739322,-86.66345838,-908.0378359,-19.44658307
-335.7837739,-534.4839129,15.96515319,98.68169323,-946.6008866,-39.99845031,-302.818698,-541.4555129,-95.04538952,62.43274946,-945.9623252,67.90927557,-206.8681819,-367.250246,-45.82144736,-115.0206776,-907.1648785,-18.94141087
